,NINO_CESM2_9
0,25.9901
1,26.0083
2,26.0331
3,26.031
4,26.0224
5,26.0119
6,26.0069
7,26.018
8,26.0331
9,26.0284
10,26.0116
11,25.9884
12,25.986
13,25.991
14,26.0058
15,26.0219
16,26.0325
17,26.0624
18,26.106
19,26.1528
20,26.1931
21,26.2238
22,26.2736
23,26.3369
24,26.3619
25,26.3584
26,26.36
27,26.3563
28,26.3724
29,26.3977
30,26.4062
31,26.4141
32,26.4216
33,26.4316
34,26.4546
35,26.4834
36,26.5249
37,26.521
38,26.4858
39,26.4809
40,26.4796
41,26.4682
42,26.4651
43,26.4716
44,26.4695
45,26.486
46,26.4915
47,26.5246
48,26.5762
49,26.6393
50,26.6596
51,26.6638
52,26.6722
53,26.6591
54,26.6467
55,26.6328
56,26.6251
57,26.6322
58,26.6382
59,26.6294
60,26.6405
61,26.697
62,26.7547
63,26.7632
64,26.7682
65,26.8087
66,26.8286
67,26.8436
68,26.8649
69,26.856
70,26.8628
71,26.8428
72,26.8183
73,26.8069
74,26.8178
75,26.847
76,26.8871
77,26.9441
78,26.9697
79,26.9927
80,27.0164
81,27.0914
82,27.1664
83,27.2247
84,27.2582
85,27.295
86,27.3513
87,27.4077
88,27.4573
89,27.4988
90,27.5473
91,27.5826
92,27.5726
93,27.5732
94,27.5728
95,27.577
96,27.5667
97,27.5627
98,27.5677
99,27.5959
100,27.6365
101,27.6387
102,27.6484
103,27.6302
104,27.6144
105,27.6237
106,27.6651
107,27.7297
108,27.7899
109,27.8577
110,27.8996
111,27.9349
112,27.9358
113,27.9426
114,27.9264
115,27.9352
116,27.9469
117,27.9532
118,27.9878
119,28.0378
120,28.0908
121,28.1033
122,28.1127
123,28.1366
124,28.1432
125,28.1357
126,28.1217
127,28.1372
128,28.1528
129,28.1843
130,28.2135
131,28.2426
132,28.2835
133,28.3247
134,28.3647
135,28.3778
136,28.3944
137,28.3788
138,28.3589
139,28.3651
140,28.3933
141,28.4213
142,28.4108
143,28.4062
144,28.4082
145,28.4204
146,28.4291
147,28.4438
148,28.4407
149,28.4388
150,28.4273
151,28.4231
152,28.4237
153,28.4395
154,28.4482
155,28.4548
156,28.4551
157,28.4415
158,28.4308
159,28.4256
160,28.4167
161,28.431
162,28.4412
163,28.4317
164,28.4117
165,28.4017
166,28.3866
167,28.3785
168,28.3782
169,28.382
170,28.3789
171,28.3775
172,28.3928
173,28.3903
174,28.3989
175,28.3949
176,28.3754
177,28.3592
178,28.3527
179,28.3546
180,28.3581
181,28.3584
182,28.3479
183,28.3474
184,28.3537
185,28.3665
186,28.3817
187,28.3839
188,28.3962
189,28.4018
190,28.3999
191,28.3886
192,28.3538
193,28.3144
194,28.2713
195,28.2331
196,28.2061
197,28.1677
198,28.1365
199,28.1094
200,28.0962
201,28.0685
202,28.0345
203,28.0042
204,27.9834
205,27.9576
206,27.9119
207,27.8623
208,27.822
209,27.7795
210,27.7479
211,27.739
212,27.7236
213,27.7074
214,27.696
215,27.667
216,27.6469
217,27.6348
218,27.6203
219,27.6323
220,27.6358
221,27.6156
222,27.597
223,27.6159
224,27.6272
225,27.6302
226,27.6236
227,27.6072
228,27.5959
229,27.5952
230,27.5795
231,27.5645
232,27.5553
233,27.5566
234,27.5553
235,27.553
236,27.5378
237,27.5281
238,27.5202
239,27.507
240,27.4827
241,27.4597
242,27.4674
243,27.4731
244,27.4587
245,27.451
246,27.4454
247,27.4386
248,27.4328
249,27.4419
250,27.4408
251,27.413
252,27.3716
253,27.3313
254,27.2905
255,27.2666
256,27.253
257,27.2487
258,27.2319
259,27.21
260,27.1809
261,27.1653
262,27.1656
263,27.1862
264,27.1859
265,27.1911
266,27.1881
267,27.1703
268,27.1552
269,27.1733
270,27.1881
271,27.1816
272,27.1782
273,27.1579
274,27.1489
275,27.1681
276,27.18
277,27.1852
278,27.1779
279,27.1804
280,27.167
281,27.1899
282,27.2179
283,27.2478
284,27.261
285,27.2833
286,27.2961
287,27.3093
288,27.3321
289,27.3484
290,27.3642
291,27.4073
292,27.4432
293,27.4572
294,27.4856
295,27.5252
296,27.5421
297,27.5519
298,27.566
299,27.5769
300,27.5832
301,27.5834
302,27.5897
303,27.5933
304,27.5865
305,27.5722
306,27.5736
307,27.5956
308,27.5999
309,27.6215
310,27.6239
311,27.6194
312,27.6168
313,27.6346
314,27.6855
315,27.7297
316,27.7717
317,27.7945
318,27.8397
319,27.8536
320,27.8514
321,27.8483
322,27.8568
323,27.8729
324,27.9124
325,27.9509
326,27.9809
327,27.9764
328,27.9743
329,27.9727
330,27.9722
331,27.9742
332,27.9637
333,27.983
334,27.9952
335,27.9935
336,28.0116
337,28.028
338,28.0578
339,28.1026
340,28.1356
341,28.1649
342,28.214
343,28.2256
344,28.2302
345,28.2471
346,28.2552
347,28.2526
348,28.2516
349,28.2577
350,28.2719
351,28.2686
352,28.2748
353,28.3068
354,28.3247
355,28.3375
356,28.357
357,28.3681
358,28.3569
359,28.3278
360,28.3019
361,28.273
362,28.2688
363,28.2806
364,28.31
365,28.3548
366,28.4077
367,28.4627
368,28.4973
369,28.5159
370,28.4979
371,28.4755
372,28.4566
373,28.4356
374,28.4228
375,28.4328
376,28.4567
377,28.4349
378,28.4087
379,28.4125
380,28.4083
381,28.4255
382,28.4602
383,28.472
384,28.4801
385,28.4704
386,28.4657
387,28.4723
388,28.4787
389,28.4732
390,28.4889
391,28.4907
392,28.4741
393,28.4764
394,28.4827
395,28.4922
396,28.4956
397,28.506
398,28.4958
399,28.4961
400,28.495
401,28.4936
402,28.5089
403,28.546
404,28.6091
405,28.6403
406,28.6527
407,28.6154
408,28.5743
409,28.5575
410,28.5364
411,28.5013
412,28.4861
413,28.4726
414,28.4371
415,28.4342
416,28.4274
417,28.4398
418,28.4565
419,28.4674
420,28.4729
421,28.4943
422,28.542
423,28.5989
424,28.6409
425,28.6642
426,28.6919
427,28.7172
428,28.7241
429,28.7271
430,28.7362
431,28.7287
432,28.6891
433,28.6543
434,28.623
435,28.5698
436,28.5138
437,28.4569
438,28.4598
439,28.4711
440,28.4991
441,28.5203
442,28.5319
443,28.5546
444,28.574
445,28.5966
446,28.6221
447,28.6711
448,28.7223
449,28.7704
450,28.803
451,28.8436
452,28.8686
453,28.8973
454,28.9007
455,28.8802
456,28.9072
457,28.9331
458,28.9585
459,29.0175
460,29.0659
461,29.0886
462,29.074
463,29.0535
464,29.0478
465,29.0672
466,29.0812
467,29.0792
468,29.0942
469,29.1024
470,29.101
471,29.094
472,29.0866
473,29.0659
474,29.0428
475,29.0417
476,29.0486
477,29.0117
478,28.955
479,28.924
480,28.9223
481,28.9172
