,NINO_CESM2_1
0,27.7289
1,27.7641
2,27.7833
3,27.8009
4,27.8169
5,27.8207
6,27.8087
7,27.8007
8,27.7752
9,27.7506
10,27.7306
11,27.717
12,27.7117
13,27.726
14,27.7341
15,27.7376
16,27.74
17,27.7461
18,27.7604
19,27.7736
20,27.7874
21,27.7896
22,27.7912
23,27.7691
24,27.7604
25,27.783
26,27.8163
27,27.8465
28,27.8976
29,27.9541
30,28.0024
31,28.028
32,28.042
33,28.0652
34,28.0657
35,28.0712
36,28.1028
37,28.1558
38,28.1968
39,28.2195
40,28.2142
41,28.218
42,28.1958
43,28.1919
44,28.2066
45,28.2285
46,28.253
47,28.2622
48,28.261
49,28.2637
50,28.2731
51,28.2817
52,28.2939
53,28.311
54,28.3441
55,28.382
56,28.4287
57,28.4631
58,28.4761
59,28.4983
60,28.5146
61,28.5648
62,28.6166
63,28.6649
64,28.6953
65,28.701
66,28.6996
67,28.6972
68,28.6803
69,28.6313
70,28.5946
71,28.5851
72,28.5938
73,28.6286
74,28.6522
75,28.6732
76,28.7169
77,28.7637
78,28.7916
79,28.8123
80,28.8256
81,28.8399
82,28.8438
83,28.8662
84,28.8904
85,28.9376
86,28.9659
87,28.996
88,29.0545
89,29.0693
90,29.0857
91,29.1077
92,29.0963
93,29.0809
94,29.0721
95,29.057
96,29.0555
97,29.0562
98,29.0405
99,29.0323
100,29.0271
101,29.0229
102,29.0312
103,29.0503
104,29.0628
105,29.0674
106,29.0678
107,29.0844
108,29.132
109,29.1687
110,29.1933
111,29.2498
112,29.3096
113,29.3463
114,29.3627
115,29.3972
116,29.4174
117,29.4116
118,29.4043
119,29.4046
120,29.3917
121,29.387
122,29.3835
123,29.3881
124,29.3963
125,29.4047
126,29.4141
127,29.4068
128,29.4076
129,29.4159
130,29.4196
131,29.4228
132,29.4114
133,29.4055
134,29.4101
135,29.4111
136,29.4029
137,29.3856
138,29.3885
139,29.3805
140,29.3855
141,29.3953
142,29.4173
143,29.4631
144,29.4806
145,29.4954
146,29.522
147,29.5432
148,29.5614
149,29.563
150,29.5636
151,29.5527
152,29.544
153,29.541
154,29.5375
155,29.5246
156,29.5133
157,29.4959
158,29.4772
159,29.4514
160,29.4087
161,29.3859
162,29.3842
163,29.3871
164,29.3979
165,29.4039
166,29.4146
167,29.4241
168,29.424
169,29.405
170,29.4036
171,29.4296
172,29.4639
173,29.465
174,29.4644
175,29.4806
176,29.4925
177,29.4938
178,29.4746
179,29.4628
180,29.4535
181,29.4648
182,29.4691
183,29.4599
184,29.4351
185,29.4059
186,29.3872
187,29.3938
188,29.3981
189,29.4073
190,29.4135
191,29.4062
192,29.3982
193,29.3936
194,29.3906
195,29.3834
196,29.357
197,29.3419
198,29.3334
199,29.3154
200,29.2979
201,29.2809
202,29.253
203,29.21
204,29.1535
205,29.087
206,29.038
207,29.0092
208,28.9679
209,28.9258
210,28.8881
211,28.8355
212,28.8078
213,28.8026
214,28.7939
215,28.7611
216,28.7423
217,28.7281
218,28.7105
219,28.6856
220,28.6614
221,28.6351
222,28.6151
223,28.5974
224,28.5559
225,28.5033
226,28.4636
227,28.4288
228,28.4101
229,28.3918
230,28.3643
231,28.3379
232,28.3061
233,28.255
234,28.2141
235,28.1793
236,28.1459
237,28.0887
238,28.0395
239,27.994
240,27.9703
241,27.9886
242,27.9731
243,27.9574
244,27.9459
245,27.9276
246,27.9366
247,27.9711
248,28.0077
249,28.0334
250,28.0398
251,28.0239
252,27.9906
253,27.9615
254,27.9662
255,27.9703
256,27.9655
257,27.9513
258,27.9195
259,27.9077
260,27.8944
261,27.8814
262,27.8727
263,27.8512
264,27.852
265,27.8685
266,27.8903
267,27.9087
268,27.9064
269,27.8956
270,27.9112
271,27.9306
272,27.9502
273,27.9953
274,28.0372
275,28.0601
276,28.0395
277,28.0022
278,27.9736
279,27.9578
280,27.9264
281,27.9012
282,27.8979
283,27.9152
284,27.9464
285,27.9671
286,27.9725
287,27.9781
288,27.967
289,27.9438
290,27.9381
291,27.9299
292,27.9252
293,27.9451
294,27.9568
295,27.9351
296,27.9155
297,27.9208
298,27.9468
299,27.9864
300,28.0118
301,28.0531
302,28.0833
303,28.115
304,28.1471
305,28.1962
306,28.2365
307,28.2421
308,28.2252
309,28.189
310,28.1558
311,28.1336
312,28.1245
313,28.1139
314,28.1068
315,28.1237
316,28.1349
317,28.1573
318,28.1863
319,28.2335
320,28.2719
321,28.2929
322,28.3021
323,28.3083
324,28.3237
325,28.329
326,28.3525
327,28.3666
328,28.3734
329,28.3838
330,28.3782
331,28.3371
332,28.2677
333,28.1928
334,28.1516
335,28.1642
336,28.1885
337,28.2306
338,28.2678
339,28.3163
340,28.3506
341,28.3886
342,28.4343
343,28.4752
344,28.4977
345,28.4927
346,28.4627
347,28.4358
348,28.4224
349,28.4307
350,28.4419
351,28.4536
352,28.5055
353,28.5191
354,28.516
355,28.5126
356,28.5292
357,28.537
358,28.5361
359,28.5608
360,28.6069
361,28.6381
362,28.654
363,28.6594
364,28.6634
365,28.6777
366,28.669
367,28.6677
368,28.6503
369,28.643
370,28.6276
371,28.5924
372,28.5653
373,28.57
374,28.5737
375,28.5978
376,28.6076
377,28.6126
378,28.5993
379,28.5724
380,28.5741
381,28.6084
382,28.6421
383,28.6657
384,28.6835
385,28.674
386,28.6629
387,28.6342
388,28.6093
389,28.6106
390,28.6122
391,28.617
392,28.6416
393,28.6628
394,28.6893
395,28.73
396,28.7515
397,28.7738
398,28.8021
399,28.8138
400,28.8203
401,28.8182
402,28.8411
403,28.8721
404,28.907
405,28.9415
406,28.9378
407,28.9194
408,28.9024
409,28.8704
410,28.8489
411,28.8516
412,28.8752
413,28.882
414,28.9106
415,28.9291
416,28.9596
417,29.001
418,29.0046
419,29.0017
420,28.9838
421,29.0101
422,29.0602
423,29.1078
424,29.1452
425,29.1695
426,29.1911
427,29.2159
428,29.2472
429,29.2586
430,29.2402
431,29.2366
432,29.2434
433,29.2545
434,29.2261
435,29.1706
436,29.1202
437,29.0721
438,29.041
439,29.0426
440,29.0188
441,29.0092
442,28.9967
443,29.0059
444,29.0276
445,29.0627
446,29.0802
447,29.0864
448,29.1043
449,29.0784
450,29.0679
451,29.0688
452,29.0708
453,29.0748
454,29.0782
455,29.068
456,29.0808
457,29.0461
458,29.0009
459,28.9707
460,28.9323
461,28.9262
462,28.9279
463,28.9409
464,28.959
465,28.995
466,29.0229
467,29.0462
468,29.0501
469,29.0276
470,28.9954
471,28.9568
472,28.9241
473,28.9128
474,28.9031
475,28.9204
476,28.8987
477,28.8685
478,28.8549
479,28.8462
480,28.8548
481,28.8741
482,28.8996
483,28.9169
484,28.9653
485,29.0197
486,29.0731
487,29.1089
488,29.1345
489,29.133
490,29.1086
491,29.0871
492,29.0659
493,29.0361
494,28.9967
495,28.9652
496,28.9515
497,28.927
498,28.8804
499,28.8141
500,28.7544
501,28.7106
502,28.6805
503,28.6613
504,28.6419
505,28.6355
506,28.6418
507,28.6329
508,28.6322
509,28.5898
510,28.5605
511,28.5444
512,28.5334
513,28.5139
514,28.4917
515,28.4661
516,28.4374
517,28.3855
518,28.327
519,28.2896
520,28.2593
521,28.2375
522,28.2224
523,28.2031
524,28.1697
525,28.1572
526,28.1471
527,28.1278
528,28.12
529,28.1161
530,28.1212
531,28.1227
532,28.1164
533,28.1051
534,28.0915
535,28.0993
536,28.1019
537,28.0988
538,28.1035
539,28.1294
540,28.1513
541,28.1752
542,28.1857
543,28.1641
544,28.1468
545,28.1657
546,28.1953
547,28.197
548,28.1681
549,28.114
550,28.0618
551,28.0017
552,27.9515
553,27.9067
554,27.8679
555,27.826
556,27.7866
557,27.7554
558,27.7154
559,27.6644
560,27.6062
561,27.5393
562,27.4844
563,27.4225
564,27.3655
565,27.3161
566,27.2772
567,27.2553
568,27.195
569,27.1124
570,27.0176
571,26.9381
572,26.8709
573,26.799
574,26.7285
575,26.6691
576,26.597
577,26.5299
578,26.4659
579,26.3813
580,26.2851
581,26.1888
582,26.0838
583,25.9733
584,25.848
585,25.7255
586,25.6217
587,25.5319
588,25.4703
589,25.4219
590,25.3853
591,25.3462
592,25.2898
593,25.2149
594,25.1087
595,24.9956
596,24.91
597,24.8616
598,24.8531
599,24.8451
600,24.8125
601,24.7923
602,24.7683
603,24.7486
604,24.725
605,24.6906
606,24.6557
607,24.6227
608,24.5755
609,24.4955
610,24.4039
611,24.3347
612,24.271
613,24.2395
614,24.2332
615,24.2543
616,24.2846
617,24.281
618,24.2427
619,24.2009
620,24.1684
621,24.1561
622,24.1412
623,24.1238
624,24.0809
625,24.0202
626,23.9934
627,23.9693
628,23.9624
629,23.9506
630,23.9367
631,23.9279
632,23.9105
633,23.8863
634,23.8681
635,23.8349
636,23.8001
637,23.7656
638,23.7274
639,23.711
640,23.6937
641,23.7078
