,NINO_CESM2_2
0,27.276
1,27.2829
2,27.283
3,27.2956
4,27.3074
5,27.3219
6,27.3204
7,27.3039
8,27.2909
9,27.2951
10,27.288
11,27.2778
12,27.2667
13,27.2523
14,27.242
15,27.2389
16,27.2378
17,27.2501
18,27.2664
19,27.2647
20,27.2502
21,27.2362
22,27.2086
23,27.1909
24,27.1971
25,27.1943
26,27.1932
27,27.1969
28,27.2091
29,27.2071
30,27.2108
31,27.2045
32,27.1839
33,27.1685
34,27.1556
35,27.1442
36,27.1705
37,27.2271
38,27.2708
39,27.2986
40,27.2943
41,27.3029
42,27.3032
43,27.3293
44,27.3348
45,27.3095
46,27.2888
47,27.2866
48,27.2937
49,27.313
50,27.3476
51,27.3643
52,27.3551
53,27.3562
54,27.3799
55,27.367
56,27.334
57,27.32
58,27.3218
59,27.3109
60,27.2732
61,27.2293
62,27.197
63,27.1461
64,27.109
65,27.0868
66,27.0854
67,27.1259
68,27.1886
69,27.2382
70,27.2708
71,27.2822
72,27.2623
73,27.2747
74,27.2774
75,27.2861
76,27.3033
77,27.333
78,27.3323
79,27.3215
80,27.3269
81,27.3495
82,27.4074
83,27.5043
84,27.6022
85,27.6775
86,27.709
87,27.7333
88,27.7366
89,27.7471
90,27.7619
91,27.7651
92,27.726
93,27.6958
94,27.6772
95,27.6709
96,27.6735
97,27.6995
98,27.7457
99,27.7866
100,27.7951
101,27.8088
102,27.8128
103,27.7934
104,27.7986
105,27.8203
106,27.8611
107,27.9087
108,27.945
109,27.9854
110,28.0198
111,28.0439
112,28.0246
113,28.0173
114,28.0244
115,28.0202
116,28.0385
117,28.0575
118,28.0507
119,28.0323
120,28.0068
121,27.9764
122,27.9542
123,27.9195
124,27.884
125,27.8563
126,27.8679
127,27.8401
128,27.8117
129,27.7852
130,27.8134
131,27.8664
132,27.924
133,27.9937
134,28.0391
135,28.0482
136,28.0195
137,27.9909
138,27.9723
139,27.954
140,27.9591
141,27.9933
142,28.0009
143,28.0414
144,28.066
145,28.0583
146,28.0496
147,28.0407
148,28.0177
149,27.9766
150,27.9568
151,27.9359
152,27.918
153,27.901
154,27.8601
155,27.8218
156,27.803
157,27.8074
158,27.8022
159,27.8134
160,27.8233
161,27.8282
162,27.8447
163,27.8793
164,27.9253
165,27.9398
166,27.9582
167,27.9571
168,27.9459
169,27.9399
170,27.94
171,27.9356
172,27.9262
173,27.8965
174,27.8442
175,27.797
176,27.7491
177,27.7071
178,27.685
179,27.661
180,27.6323
181,27.6077
182,27.6008
183,27.5818
184,27.5675
185,27.5444
186,27.5132
187,27.4888
188,27.4793
189,27.455
190,27.4233
191,27.3845
192,27.3474
193,27.3223
194,27.297
195,27.2726
196,27.2461
197,27.2134
198,27.1785
199,27.1363
200,27.0788
201,27.0253
202,26.981
203,26.9442
204,26.9145
205,26.8776
206,26.8474
207,26.8113
208,26.7743
209,26.7391
210,26.6985
211,26.6525
212,26.6086
213,26.588
214,26.5811
215,26.5698
216,26.5692
217,26.5762
218,26.5631
219,26.5501
220,26.5581
221,26.5671
222,26.5602
223,26.5285
224,26.4962
225,26.463
226,26.4544
227,26.457
228,26.4657
229,26.4776
230,26.4701
231,26.4476
232,26.4337
233,26.4344
234,26.4355
235,26.4403
236,26.435
237,26.4159
238,26.4006
239,26.3697
240,26.3505
241,26.3406
242,26.3176
243,26.2772
244,26.2232
245,26.1819
246,26.1387
247,26.0989
248,26.0416
249,25.9818
250,25.9148
251,25.8581
252,25.8325
253,25.8112
254,25.7982
255,25.7783
256,25.7398
257,25.7175
258,25.724
259,25.7245
260,25.732
261,25.7519
262,25.7504
263,25.7408
264,25.7383
265,25.7394
266,25.7319
267,25.7134
268,25.6876
269,25.667
270,25.629
271,25.5909
272,25.5557
273,25.538
274,25.5222
275,25.4853
276,25.4621
277,25.4535
278,25.4559
279,25.4513
280,25.4733
281,25.4922
282,25.4771
283,25.4495
284,25.4253
285,25.4285
286,25.4458
287,25.4866
288,25.5056
289,25.4943
290,25.489
291,25.506
292,25.507
293,25.5399
294,25.591
295,25.6346
296,25.678
297,25.7016
298,25.7264
299,25.7377
300,25.7357
301,25.7406
302,25.7502
303,25.755
304,25.7866
305,25.8369
306,25.9077
307,25.9572
308,25.9856
309,25.9842
310,25.9674
311,25.9498
312,25.9271
313,25.9085
314,25.9015
315,25.9132
316,25.9093
317,25.8973
318,25.8895
319,25.8846
320,25.8939
321,25.9007
322,25.9038
323,25.8995
324,25.9013
325,25.8993
326,25.8973
327,25.9001
328,25.8912
329,25.893
330,25.8969
331,25.8975
332,25.9015
333,25.9134
334,25.934
335,25.9676
336,26.0001
337,26.0319
338,26.0273
339,26.0232
340,26.0162
341,26.0081
342,26.0141
343,26.0015
344,25.9767
345,25.9571
346,25.9462
347,25.9306
348,25.9148
349,25.8917
350,25.8798
351,25.8557
352,25.8639
353,25.875
354,25.8657
355,25.8809
