,NINO_CESM2_4
0,25.0091
1,24.9967
2,24.9853
3,24.9923
4,24.9871
5,25.0057
6,25.025
7,25.0625
8,25.1059
9,25.1429
10,25.1495
11,25.1633
12,25.2008
13,25.2409
14,25.2638
15,25.2729
16,25.2744
17,25.2851
18,25.2991
19,25.2966
20,25.294
21,25.3119
22,25.3407
23,25.3845
24,25.399
25,25.362
26,25.3598
27,25.3659
28,25.389
29,25.4176
30,25.4301
31,25.4249
32,25.4195
33,25.4295
34,25.4588
35,25.509
36,25.5055
37,25.5026
38,25.5308
39,25.5791
40,25.6189
41,25.6431
42,25.6623
43,25.6794
44,25.6851
45,25.6835
46,25.7008
47,25.7072
48,25.7282
49,25.7346
50,25.7383
51,25.7503
52,25.7695
53,25.8121
54,25.8719
55,25.9225
56,25.9579
57,25.9855
58,26.002
59,26.0244
60,26.0755
61,26.1126
62,26.1353
63,26.185
64,26.2402
65,26.3
66,26.3228
67,26.3488
68,26.3633
69,26.4025
70,26.4367
71,26.4577
72,26.4823
73,26.4955
74,26.4855
75,26.4775
76,26.4977
77,26.5286
78,26.56
79,26.602
80,26.6444
81,26.6936
82,26.7281
83,26.7522
84,26.7697
85,26.7897
86,26.8097
87,26.8357
88,26.8428
89,26.8343
90,26.8188
91,26.8034
92,26.7893
93,26.7677
94,26.7656
95,26.7413
96,26.7436
97,26.7587
98,26.7492
99,26.7683
100,26.8078
101,26.8176
102,26.8279
103,26.8497
104,26.8762
105,26.9161
106,26.9453
107,26.9747
108,27.0248
109,27.0915
110,27.1399
111,27.1646
112,27.1743
113,27.1791
114,27.2154
115,27.2543
116,27.3033
117,27.3277
118,27.3337
119,27.3659
120,27.3922
121,27.4287
122,27.4764
123,27.5232
124,27.5632
125,27.5766
126,27.6
127,27.6345
128,27.6345
129,27.6025
130,27.5696
131,27.5696
132,27.5538
133,27.541
134,27.5446
135,27.5446
136,27.5571
137,27.5521
138,27.55
139,27.5502
140,27.5535
141,27.5655
142,27.5525
143,27.5661
144,27.5739
145,27.5942
146,27.6388
147,27.6716
148,27.6767
149,27.6582
150,27.6267
151,27.5753
152,27.5315
153,27.4921
154,27.4634
155,27.4551
156,27.4783
157,27.4964
158,27.522
159,27.539
160,27.557
161,27.5622
162,27.5759
163,27.6005
164,27.6121
165,27.6188
166,27.6379
167,27.6451
168,27.6319
169,27.6106
170,27.5972
171,27.5888
172,27.5775
173,27.5628
174,27.5451
175,27.5341
176,27.5319
177,27.5293
178,27.5114
179,27.4879
180,27.4686
181,27.4542
182,27.4611
183,27.4972
184,27.5387
185,27.5612
186,27.5537
187,27.5259
188,27.4981
189,27.4683
190,27.4276
191,27.3902
192,27.3546
193,27.3237
194,27.3018
195,27.2779
196,27.24
197,27.2043
198,27.1689
199,27.1383
200,27.113
201,27.0854
202,27.0631
203,27.0532
204,27.0267
205,26.9915
206,26.9738
207,26.9687
208,26.9654
209,26.9434
210,26.9059
211,26.8811
212,26.8623
213,26.8332
214,26.8179
215,26.8057
216,26.7969
217,26.7949
218,26.7895
219,26.7833
220,26.789
221,26.7925
222,26.7879
223,26.7667
224,26.7418
225,26.7128
226,26.6834
227,26.6591
228,26.6181
229,26.5832
230,26.5632
231,26.5303
232,26.509
233,26.4815
234,26.4589
235,26.4483
236,26.4307
237,26.4055
238,26.3621
239,26.2989
240,26.2419
241,26.1863
242,26.1314
243,26.0804
244,26.0367
245,25.9971
246,25.9677
247,25.9328
248,25.9114
249,25.9153
250,25.9102
251,25.9077
252,25.9019
253,25.8874
254,25.8767
255,25.8424
256,25.8167
257,25.8097
258,25.787
259,25.7398
260,25.6806
261,25.6225
262,25.5858
263,25.5691
264,25.5549
265,25.5295
266,25.5096
267,25.5076
268,25.5301
269,25.5619
270,25.5745
271,25.572
272,25.5765
273,25.5929
274,25.622
275,25.6499
276,25.6481
277,25.6171
278,25.5671
279,25.5154
280,25.4634
281,25.4177
282,25.4016
283,25.4191
284,25.4386
285,25.4332
286,25.414
287,25.3799
288,25.3606
289,25.3691
290,25.3875
291,25.4098
292,25.4203
293,25.4441
294,25.459
295,25.4634
296,25.4662
297,25.452
298,25.4478
299,25.4407
300,25.4116
301,25.4
302,25.3877
303,25.3895
304,25.379
305,25.3659
306,25.3629
307,25.3482
308,25.3195
309,25.289
310,25.2745
311,25.2668
312,25.2638
313,25.2875
314,25.3037
315,25.2793
316,25.2622
317,25.2429
318,25.2386
319,25.2251
320,25.2169
321,25.2044
322,25.1999
323,25.2015
324,25.2106
325,25.2092
326,25.2217
327,25.2457
328,25.2443
329,25.2368
330,25.2441
331,25.2502
332,25.2503
333,25.2616
334,25.2744
335,25.2601
336,25.2399
337,25.2409
338,25.2557
339,25.2743
340,25.2641
341,25.2578
342,25.2406
343,25.2373
344,25.2398
345,25.2339
346,25.2133
347,25.2095
348,25.2079
349,25.2181
350,25.2555
351,25.2768
352,25.3103
353,25.3447
354,25.3567
355,25.3733
356,25.4001
357,25.4511
358,25.498
359,25.5316
360,25.5685
361,25.6128
362,25.6414
363,25.6288
364,25.6083
365,25.595
366,25.5801
367,25.5665
368,25.55
369,25.5691
370,25.5857
371,25.5862
372,25.6039
373,25.6015
374,25.6012
375,25.613
376,25.6098
377,25.5944
378,25.5775
379,25.5687
380,25.5644
381,25.5709
382,25.5778
383,25.597
384,25.6265
385,25.6426
386,25.6614
387,25.6884
388,25.7054
389,25.73
390,25.7483
391,25.7599
392,25.7811
393,25.7867
394,25.8071
395,25.8259
396,25.8493
397,25.8708
398,25.8952
399,25.954
400,25.9714
401,26.0037
402,26.0346
403,26.0785
404,26.1182
405,26.1317
406,26.139
407,26.1515
408,26.1701
409,26.1935
410,26.2053
411,26.204
412,26.2038
413,26.2166
414,26.238
415,26.3022
416,26.3773
417,26.4331
418,26.4763
419,26.508
420,26.5434
421,26.5756
422,26.6085
423,26.6426
424,26.6718
425,26.7265
426,26.775
427,26.7928
428,26.8122
429,26.8497
430,26.8861
431,26.911
432,26.9463
433,26.9849
434,27.0232
435,27.0292
436,27.0091
437,26.9975
438,26.977
439,26.982
440,26.9709
441,26.9641
442,26.96
443,26.9535
444,26.9762
445,27.0078
446,27.0108
447,27.0203
448,27.0218
449,27.0385
450,27.0705
451,27.1257
452,27.1608
453,27.1795
454,27.2095
455,27.2662
456,27.3316
457,27.409
458,27.4716
459,27.5075
460,27.5416
461,27.5808
462,27.628
463,27.6647
464,27.7149
465,27.7602
466,27.7925
467,27.8105
468,27.8273
469,27.8196
470,27.8112
471,27.8212
472,27.8193
473,27.8103
474,27.8036
475,27.7909
476,27.7942
477,27.8077
478,27.8048
479,27.7924
480,27.7809
481,27.7999
482,27.82
483,27.8407
484,27.8595
485,27.8882
486,27.9338
487,28.0012
488,28.0662
489,28.0992
490,28.1075
491,28.1341
492,28.1861
493,28.2145
494,28.2259
495,28.2675
496,28.313
497,28.3661
498,28.3802
499,28.3869
500,28.387
501,28.3826
502,28.3816
503,28.3683
504,28.3474
505,28.3124
506,28.2798
507,28.2578
508,28.231
509,28.2089
510,28.1705
511,28.1639
512,28.181
513,28.1936
514,28.21
515,28.2271
516,28.2558
517,28.2644
518,28.2694
519,28.2717
520,28.2584
521,28.2698
522,28.2808
523,28.314
524,28.3405
525,28.3382
526,28.3296
527,28.329
528,28.345
529,28.3679
530,28.3851
531,28.3901
532,28.3988
533,28.4219
534,28.4328
535,28.4402
536,28.4408
537,28.4438
538,28.4471
539,28.4363
540,28.4231
541,28.4155
542,28.4118
543,28.3944
544,28.3778
545,28.3503
546,28.3185
547,28.2901
548,28.2715
549,28.2761
550,28.2607
551,28.2535
552,28.2514
553,28.2402
554,28.2182
555,28.204
556,28.1768
557,28.1426
558,28.1241
559,28.1284
560,28.1409
561,28.1589
562,28.1596
563,28.1565
564,28.154
565,28.1362
566,28.0955
567,28.0622
568,28.0375
569,28.0037
570,27.9891
571,27.9897
572,27.9793
573,27.9673
574,27.9499
575,27.9231
576,27.9122
577,27.8924
578,27.8723
579,27.8511
580,27.8079
581,27.7873
582,27.7983
583,27.8169
584,27.8104
585,27.7985
586,27.7926
587,27.8001
588,27.8181
589,27.805
590,27.7635
591,27.7378
592,27.7161
593,27.6866
594,27.6479
595,27.6076
596,27.5499
597,27.4883
598,27.4815
599,27.491
600,27.4802
601,27.4623
602,27.4565
603,27.4534
604,27.4461
605,27.4332
606,27.4472
607,27.4714
