,NINO_CESM2_11
0,27.0106
1,27.0376
2,27.0388
3,27.0702
4,27.0962
5,27.1146
6,27.1226
7,27.1142
8,27.104
9,27.0806
10,27.075
11,27.0755
12,27.0738
13,27.0852
14,27.0966
15,27.0853
16,27.0742
17,27.0675
18,27.0757
19,27.0884
20,27.1162
21,27.1408
22,27.1559
23,27.2002
24,27.223
25,27.2363
26,27.2638
27,27.3302
28,27.3932
29,27.4381
30,27.4417
31,27.4572
32,27.4311
33,27.4065
34,27.4174
35,27.4385
36,27.4613
37,27.4806
38,27.4855
39,27.4828
40,27.4831
41,27.4791
42,27.4971
43,27.5209
44,27.5429
45,27.5606
46,27.573
47,27.5799
48,27.5611
49,27.5346
50,27.5064
51,27.4825
52,27.4586
53,27.4388
54,27.4214
55,27.4235
56,27.4357
57,27.4446
58,27.4498
59,27.4435
60,27.4588
61,27.5157
62,27.568
63,27.5846
64,27.5581
65,27.5442
66,27.5442
67,27.5517
68,27.5837
69,27.6045
70,27.6096
71,27.5999
72,27.5705
73,27.55
74,27.5313
75,27.5119
76,27.5155
77,27.5127
78,27.5308
79,27.5401
80,27.5398
81,27.5401
82,27.53
83,27.5428
84,27.5493
85,27.5587
86,27.5436
87,27.5313
88,27.5188
89,27.4983
90,27.4742
91,27.4719
92,27.4792
93,27.489
94,27.5211
95,27.5466
96,27.5712
97,27.6137
98,27.674
99,27.7275
100,27.7681
101,27.7655
102,27.753
103,27.749
104,27.7276
105,27.7133
106,27.6941
107,27.6653
108,27.6457
109,27.6372
110,27.6341
111,27.6314
112,27.6233
113,27.5952
114,27.6009
115,27.5884
116,27.5599
117,27.5449
118,27.5501
119,27.5522
120,27.562
121,27.5445
122,27.5277
123,27.5296
124,27.5107
125,27.5047
126,27.5233
127,27.5625
128,27.6049
129,27.6407
130,27.6557
131,27.6937
132,27.7212
133,27.738
134,27.7466
135,27.7504
136,27.7531
137,27.7658
138,27.7578
139,27.736
140,27.7365
141,27.7443
142,27.7655
143,27.8149
144,27.864
145,27.8804
146,27.8801
147,27.8686
148,27.8503
149,27.8092
150,27.7626
151,27.7201
152,27.6658
153,27.6044
154,27.5607
155,27.5431
156,27.5595
157,27.6
158,27.615
159,27.6336
160,27.6331
161,27.6491
162,27.6579
163,27.6638
164,27.6513
165,27.6422
166,27.6284
167,27.6348
168,27.6433
169,27.6774
170,27.6963
171,27.6767
172,27.6471
173,27.6234
174,27.6097
175,27.5878
176,27.5687
177,27.5451
178,27.5131
179,27.4798
180,27.4585
181,27.448
182,27.4271
183,27.3975
184,27.3628
185,27.336
186,27.3082
187,27.2948
188,27.3053
189,27.3063
190,27.29
191,27.2532
192,27.2109
193,27.1886
