,NINO_CESM2_8
0,25.9218
1,25.906
2,25.8974
3,25.8981
4,25.8935
5,25.8898
6,25.8787
7,25.8729
8,25.8685
9,25.8656
10,25.8755
11,25.8778
12,25.8793
13,25.8749
14,25.8435
15,25.81
16,25.7838
17,25.7741
18,25.7754
19,25.7779
20,25.7858
21,25.7725
22,25.7744
23,25.7891
24,25.813
25,25.8559
26,25.8734
27,25.8598
28,25.8502
29,25.8495
30,25.8501
31,25.8711
32,25.9394
33,25.9974
34,26.0424
35,26.0772
36,26.0976
37,26.097
38,26.0987
39,26.1296
40,26.1418
41,26.1413
42,26.132
43,26.1433
44,26.1705
45,26.2014
46,26.22
47,26.1969
48,26.1819
49,26.1793
50,26.1813
51,26.2025
52,26.2522
53,26.2944
54,26.3317
55,26.3552
56,26.374
57,26.4053
58,26.444
59,26.4707
60,26.4718
61,26.4808
62,26.4642
63,26.463
64,26.4737
65,26.5031
66,26.5031
67,26.503
68,26.4704
69,26.4392
70,26.4083
71,26.372
72,26.3542
73,26.3405
74,26.35
75,26.3914
76,26.4567
77,26.5395
78,26.6311
79,26.7487
80,26.8426
81,26.8893
82,26.9793
83,27.0387
84,27.0987
85,27.1345
86,27.1615
87,27.1982
88,27.2155
89,27.2482
90,27.2839
91,27.3334
92,27.3864
93,27.4512
94,27.5092
95,27.5756
96,27.64
97,27.6927
98,27.7326
99,27.7341
100,27.6982
101,27.6551
102,27.624
103,27.5858
104,27.5185
105,27.4658
106,27.442
107,27.4338
108,27.4194
109,27.4435
110,27.5021
111,27.5362
112,27.5741
113,27.6309
114,27.645
115,27.6203
116,27.5984
117,27.6098
118,27.6109
119,27.5956
120,27.5742
121,27.572
122,27.5861
123,27.6181
124,27.6556
125,27.6849
126,27.7048
127,27.7063
128,27.7107
129,27.7058
130,27.6982
131,27.714
132,27.7214
133,27.7217
134,27.7366
135,27.7546
136,27.7738
137,27.759
138,27.7427
139,27.7452
140,27.7347
141,27.7223
142,27.7205
143,27.7361
144,27.7797
145,27.8249
146,27.8489
147,27.8601
148,27.8791
149,27.8846
150,27.8793
151,27.8623
152,27.847
153,27.8355
154,27.838
155,27.8461
156,27.876
157,27.8871
158,27.8984
159,27.9106
160,27.893
161,27.8752
162,27.8701
163,27.8803
164,27.8742
165,27.8644
166,27.8718
167,27.8854
168,27.9068
169,27.9263
170,27.9277
171,27.904
172,27.8724
173,27.8604
174,27.8553
175,27.8556
176,27.8516
177,27.8407
178,27.8285
179,27.8151
180,27.7993
181,27.7691
182,27.7579
183,27.7392
184,27.7167
185,27.7046
