,dim1,dim2,dim3
0,27.955178625019194,28.311795570646133,28.689142315895435
1,27.96561131107567,28.324068600684264,28.700727229075323
2,27.97613479479714,28.336362241884395,28.712243049009867
3,27.98674732504987,28.348673779429255,28.723686848061572
4,27.997447111985203,28.361000478023733,28.735055707473958
5,28.008232327394673,28.373339582707537,28.746346718406652
6,28.019101105081525,28.385688319679623,28.757556982971902
7,28.030051541248646,28.398043897134166,28.768683615272163
8,28.041081694902836,28.41040350610789,28.779723742438318
9,28.052189588275418,28.42276432133844,28.790674505668203
10,28.06337320725917,28.43512350213346,28.801533061265086
11,28.074630501861357,28.447478193250202,28.812296581675707
12,28.08595938667279,28.459825525785345,28.82296225652747
13,28.09735774135286,28.472162618074787,28.833527293664343
14,28.108823411130437,28.484486576603086,28.84398892018096
15,28.120354207320624,28.49679449692219,28.854344383454656
16,28.13194790785716,28.509083464579174,28.86459095217499
17,28.14360225784052,28.521350556052692,28.874725917370323
18,28.155314970101422,28.533592839697786,28.884746593430986
19,28.167083725779612,28.5458073766987,28.894650319128726
20,28.178906174917906,28.55799122202937,28.904434458631936
21,28.19077993707129,28.57014142542128,28.91409640251622
22,28.202702601930902,28.582255032338406,28.923633568769855
23,28.214671729962795,28.59432908495877,28.9330434037938
24,28.226684853061222,28.606360623162413,28.942323383395728
25,28.23873947521634,28.618346685525307,28.951471013777834
26,28.25083307319614,28.630284310318796,28.96048383251788
27,28.262963097242455,28.642170536514225,28.969359409543145
28,28.27512697178083,28.65400240479239,28.97809534809683
29,28.28732209614399,28.66577695855754,28.986689285696528
30,28.299545845308764,28.677491244955473,28.995138895084395
31,28.311795570646133,28.689142315895435,29.003441885168613
32,28.324068600684264,28.700727229075323,29.011596001955795
33,28.336362241884395,28.712243049009867,29.01959902947398
34,28.348673779429255,28.723686848061572,29.027448790685682
35,28.361000478023733,28.735055707473958,29.03514314839059
36,28.373339582707537,28.746346718406652,29.042680006117553
37,28.385688319679623,28.757556982971902,29.050057309005513
38,28.398043897134166,28.768683615272163,29.0572730446729
39,28.41040350610789,28.779723742438318,29.064325244075082
40,28.42276432133844,28.790674505668203,29.07121198234957
41,28.43512350213346,28.801533061265086,29.07793137964858
42,28.447478193250202,28.812296581675707,29.08448160195856
43,28.459825525785345,28.82296225652747,29.090860861906396
44,28.472162618074787,28.833527293664343,29.09706741955187
45,28.484486576603086,28.84398892018096,29.103099583166106
46,28.49679449692219,28.854344383454656,29.10895570999562
47,28.509083464579174,28.86459095217499,29.11463420701147
48,28.521350556052692,28.874725917370323,29.120133531643283
49,28.533592839697786,28.884746593430986,29.125452192497757
50,28.5458073766987,28.894650319128726,29.130588750061403
51,28.55799122202937,28.904434458631936,29.135541817387175
52,28.57014142542128,28.91409640251622,29.140310060764644
53,28.582255032338406,28.923633568769855,29.14489220037336
54,28.59432908495877,28.9330434037938,29.14928701091921
55,28.606360623162413,28.942323383395728,29.153493322253468
56,28.618346685525307,28.951471013777834,29.157510019974012
57,28.630284310318796,28.96048383251788,29.161336046008586
58,28.642170536514225,28.969359409543145,29.164970399179712
59,28.65400240479239,28.97809534809683,29.16841213575103
60,28.66577695855754,28.986689285696528,29.171660369954825
61,28.677491244955473,28.995138895084395,29.17471427450034
62,28.689142315895435,29.003441885168613,29.17757308106267
63,28.700727229075323,29.011596001955795,29.180236080751975
64,28.712243049009867,29.01959902947398,29.182702624562705
65,28.723686848061572,29.027448790685682,29.184972123802634
66,28.735055707473958,29.03514314839059,29.187044050501623
67,28.746346718406652,29.042680006117553,29.188917937799616
68,28.757556982971902,29.050057309005513,29.190593380313814
69,28.768683615272163,29.0572730446729,29.192070034484704
70,28.779723742438318,29.064325244075082,29.193347618900862
71,28.790674505668203,29.07121198234957,29.19442591460227
72,28.801533061265086,29.07793137964858,29.195304765361946
73,28.812296581675707,29.08448160195856,29.195984077945692
74,28.82296225652747,29.090860861906396,29.19646382234981
75,28.833527293664343,29.09706741955187,29.19674403201668
76,28.84398892018096,29.103099583166106,29.196824804027983
77,28.854344383454656,29.10895570999562,29.196706299275466
78,28.86459095217499,29.11463420701147,29.196388742609063
79,28.874725917370323,29.120133531643283,29.19587242296226
80,28.884746593430986,29.125452192497757,29.195157693454583
81,28.894650319128726,29.130588750061403,29.19424497147109
82,28.904434458631936,29.135541817387175,29.19313473871874
83,28.91409640251622,29.140310060764644,29.19182754125957
84,28.923633568769855,29.14489220037336,29.19032398952054
85,28.9330434037938,29.14928701091921,29.188624758280035
86,28.942323383395728,29.153493322253468,29.186730586630965
87,28.951471013777834,29.157510019974012,29.184642277920315
88,28.96048383251788,29.161336046008586,29.182360699665054
89,28.969359409543145,29.164970399179712,29.179886783444406
90,28.97809534809683,29.16841213575103,29.17722152476833
91,28.986689285696528,29.171660369954825,29.174365982922303
92,28.995138895084395,29.17471427450034,29.1713212807884
93,29.003441885168613,29.17757308106267,29.168088604642676
94,29.011596001955795,29.180236080751975,29.164669203928714
95,29.01959902947398,29.182702624562705,29.16106439100752
96,29.027448790685682,29.184972123802634,29.1572755408838
97,29.03514314839059,29.187044050501623,29.153304090908534
98,29.042680006117553,29.188917937799616,29.14915154045804
99,29.050057309005513,29.190593380313814,29.14481945058936
100,29.0572730446729,29.192070034484704,29.140309443672276
101,29.064325244075082,29.193347618900862,29.13562320299782
102,29.07121198234957,29.19442591460227,29.130762472363404
103,29.07793137964858,29.195304765361946,29.12572905563467
104,29.08448160195856,29.195984077945692,29.12052481628424
105,29.090860861906396,29.19646382234981,29.115151676907345
106,29.09706741955187,29.19674403201668,29.109611618714585
107,29.103099583166106,29.196824804027983,29.103906681001842
108,29.10895570999562,29.196706299275466,29.09803896059752
109,29.11463420701147,29.196388742609063,29.092010611287254
110,29.120133531643283,29.19587242296226,29.08582384321621
111,29.125452192497757,29.195157693454583,29.079480922269113
112,29.130588750061403,29.19424497147109,29.072984169428086
113,29.135541817387175,29.19313473871874,29.066335960108642
114,29.140310060764644,29.19182754125957,29.059538723474063
115,29.14489220037336,29.19032398952054,29.052594941728263
116,29.14928701091921,29.188624758280035,29.045507149387387
117,29.153493322253468,29.186730586630965,29.03827793253032
118,29.157510019974012,29.184642277920315,29.030909928028287
119,29.161336046008586,29.182360699665054,29.023405822753812
120,29.164970399179712,29.179886783444406,29.01576835276929
121,29.16841213575103,29.17722152476833,29.008000302495443
122,29.171660369954825,29.174365982922303,29.000104503859916
123,29.17471427450034,29.1713212807884,28.992083835426207
124,29.17757308106267,29.168088604642676,28.983941221503144
125,29.180236080751975,29.164669203928714,28.9756796312352
126,29.182702624562705,29.16106439100752,28.96730207767393
127,29.184972123802634,29.1572755408838,28.95881161683096
128,29.187044050501623,29.153304090908534,28.950211346712745
129,29.188917937799616,29.14915154045804,28.94150440633739
130,29.190593380313814,29.14481945058936,28.93269397473389
131,29.192070034484704,29.140309443672276,28.923783269924204
132,29.193347618900862,29.13562320299782,28.914775547888365
133,29.19442591460227,29.130762472363404,28.905674101513075
134,29.195304765361946,29.12572905563467,28.89648225952416
135,29.195984077945692,29.12052481628424,28.887203385403243
136,29.19646382234981,29.115151676907345,28.87784087628911
137,29.19674403201668,29.109611618714585,28.86839816186391
138,29.196824804027983,29.103906681001842,28.85887870322463
139,29.196706299275466,29.09803896059752,28.849285991740178
140,29.196388742609063,29.092010611287254,28.839623547894615
141,29.19587242296226,29.08582384321621,28.829894920116793
142,29.195157693454583,29.079480922269113,28.82010368359684
143,29.19424497147109,29.072984169428086,28.8102534390898
144,29.19313473871874,29.066335960108642,28.800347811706946
145,29.19182754125957,29.059538723474063,28.790390449695334
146,29.19032398952054,29.052594941728263,28.78038502320587
147,29.188624758280035,29.045507149387387,28.770335223050395
148,29.186730586630965,29.03827793253032,28.760244759448078
149,29.184642277920315,29.030909928028287,28.750117360761724
150,29.182360699665054,29.023405822753812,28.739956772224314
151,29.179886783444406,29.01576835276929,28.72976675465619
152,29.17722152476833,29.008000302495443,28.719551083173318
153,29.174365982922303,29.000104503859916,28.709313545887124
154,29.1713212807884,28.992083835426207,28.699057942596447
155,29.168088604642676,28.983941221503144,28.68878808347199
156,29.164669203928714,28.9756796312352,28.678507787733746
157,29.16106439100752,28.96730207767393,28.668220882321855
158,29.1572755408838,28.95881161683096,28.657931200561368
159,29.153304090908534,28.950211346712745,28.647642580821397
160,29.14915154045804,28.94150440633739,28.637358865169055
161,29.14481945058936,28.93269397473389,28.627083898018643
162,29.140309443672276,28.923783269924204,28.61682152477657
163,29.13562320299782,28.914775547888365,28.606575590482517
164,29.130762472363404,28.905674101513075,28.596349938447396
165,29.12572905563467,28.89648225952416,28.58614840888841
166,29.12052481628424,28.887203385403243,28.575974837561887
167,29.115151676907345,28.87784087628911,28.5658330543943
168,29.109611618714585,28.86839816186391,28.55572688211199
169,29.103906681001842,28.85887870322463,28.54566013487008
170,29.09803896059752,28.849285991740178,28.53563661688098
171,29.092010611287254,28.839623547894615,28.525660121043074
172,29.08582384321621,28.829894920116793,28.51573442757019
173,29.079480922269113,28.82010368359684,28.50586330262228
174,29.072984169428086,28.8102534390898,28.496050496937816
175,29.066335960108642,28.800347811706946,28.486299744468212
176,29.059538723474063,28.790390449695334,28.476614761014844
177,29.052594941728263,28.78038502320587,28.46699924286919
178,29.045507149387387,28.770335223050395,28.457456865456656
179,29.03827793253032,28.760244759448078,28.447991281984436
180,29.030909928028287,28.750117360761724,28.43860612209396
181,29.023405822753812,28.739956772224314,28.42930499051849
182,29.01576835276929,28.72976675465619,28.420091465746125
183,29.008000302495443,28.719551083173318,28.41096909868889
184,29.000104503859916,28.709313545887124,28.401941411358234
185,28.992083835426207,28.699057942596447,28.393011895547424
186,28.983941221503144,28.68878808347199,28.384184011521377
187,28.9756796312352,28.678507787733746,28.37546118671428
188,28.96730207767393,28.668220882321855,28.366846814435636
189,28.95881161683096,28.657931200561368,28.3583442525851
190,28.950211346712745,28.647642580821397,28.34995682237667
191,28.94150440633739,28.637358865169055,28.341687807072656
192,28.93269397473389,28.627083898018643,28.33354045072795
193,28.923783269924204,28.61682152477657,28.325517956944918
194,28.914775547888365,28.606575590482517,28.317623487639445
195,28.905674101513075,28.596349938447396,28.30986016181857
196,28.89648225952416,28.58614840888841,28.302231054370075
197,28.887203385403243,28.575974837561887,28.294739194864466
198,28.87784087628911,28.5658330543943,28.287387566369933
199,28.86839816186391,28.55572688211199,28.280179104280563
200,28.85887870322463,28.54566013487008,28.273116695158265
201,28.849285991740178,28.53563661688098,28.26620317558877
202,28.839623547894615,28.525660121043074,28.259441331052145
203,28.829894920116793,28.51573442757019,28.25283389480816
204,28.82010368359684,28.50586330262228,28.246383546797016
205,28.8102534390898,28.496050496937816,28.240092912555777
206,28.800347811706946,28.486299744468212,28.233964562150994
207,28.790390449695334,28.476614761014844,28.228001009127773
208,28.78038502320587,28.46699924286919,28.22220470947557
209,28.770335223050395,28.457456865456656,28.2165780606113
210,28.760244759448078,28.447991281984436,28.211123400380078
211,28.750117360761724,28.43860612209396,28.20584300607401
212,28.739956772224314,28.42930499051849,28.20073909346934
213,28.72976675465619,28.420091465746125,28.195813815882232
214,28.719551083173318,28.41096909868889,28.191069263243577
215,28.709313545887124,28.401941411358234,28.186507461193244
216,28.699057942596447,28.393011895547424,28.182130370193985
217,28.68878808347199,28.384184011521377,28.177939884665317
218,28.678507787733746,28.37546118671428,28.173937832137792
219,28.668220882321855,28.366846814435636,28.17012597242786
220,28.657931200561368,28.3583442525851,28.16650599683367
221,28.647642580821397,28.34995682237667,28.163079527352075
222,28.637358865169055,28.341687807072656,28.159848115917175
223,28.627083898018643,28.33354045072795,28.156813243660654
224,28.61682152477657,28.325517956944918,28.15397632019419
225,28.606575590482517,28.317623487639445,28.1513386829142
226,28.596349938447396,28.30986016181857,28.14890159632931
227,28.58614840888841,28.302231054370075,28.146666251410632
228,28.575974837561887,28.294739194864466,28.144633764965118
229,28.5658330543943,28.287387566369933,28.1428051790323
230,28.55572688211199,28.280179104280563,28.141181460304672
231,28.54566013487008,28.273116695158265,28.13976349957183
232,28.53563661688098,28.26620317558877,28.13855211118869
233,28.525660121043074,28.259441331052145,28.137548032567892
234,28.51573442757019,28.25283389480816,28.136751923696604
235,28.50586330262228,28.246383546797016,28.13616436667807
236,28.496050496937816,28.240092912555777,28.135785865297997
237,28.486299744468212,28.233964562150994,28.13561684461587
238,28.476614761014844,28.228001009127773,28.135657650581397
