,NINO_CESM2_3
0,25.1152
1,25.1308
2,25.1533
3,25.1944
4,25.208
5,25.2275
6,25.2466
7,25.2312
8,25.2153
9,25.2199
10,25.2435
11,25.2468
12,25.2579
13,25.273
14,25.3051
15,25.3226
16,25.3521
17,25.3944
18,25.4214
19,25.4324
20,25.4345
21,25.4369
22,25.4312
23,25.428
24,25.4339
25,25.4498
26,25.4449
27,25.4367
28,25.4167
29,25.417
30,25.4289
31,25.4359
32,25.4354
33,25.4266
34,25.4053
35,25.3906
36,25.3921
37,25.3976
38,25.4376
39,25.4965
40,25.5376
41,25.552
42,25.5678
43,25.6132
44,25.651
45,25.6676
46,25.6771
47,25.675
48,25.6544
49,25.6219
50,25.5977
51,25.5916
52,25.593
53,25.6025
54,25.6024
55,25.6137
56,25.6264
57,25.6504
58,25.6888
59,25.7118
60,25.741
61,25.7508
62,25.7487
63,25.7329
64,25.8001
65,25.8729
66,25.9051
67,25.9158
68,25.9347
69,25.9783
70,26.0334
71,26.0508
72,26.0362
73,26.0265
74,26.0119
75,26.0034
76,26.0022
77,25.9947
78,25.9876
79,25.9577
80,25.9413
81,25.9182
82,25.9559
83,26.008
84,26.0532
85,26.1055
86,26.1052
87,26.1043
88,26.1368
89,26.1659
90,26.2235
91,26.2468
92,26.2767
93,26.3018
94,26.3247
95,26.3759
96,26.4412
97,26.504
98,26.5548
99,26.5568
100,26.5491
101,26.5654
102,26.5746
103,26.5835
104,26.5892
105,26.6034
106,26.6218
107,26.6388
108,26.6357
109,26.6737
110,26.7195
111,26.7454
112,26.7585
113,26.7793
114,26.8474
115,26.9434
116,27.047
117,27.1293
118,27.1597
119,27.1748
120,27.1921
121,27.2541
122,27.332
123,27.3919
124,27.4317
125,27.4353
126,27.4064
127,27.3961
128,27.4114
129,27.4455
130,27.4969
131,27.546
132,27.5722
133,27.5546
134,27.5562
135,27.5589
136,27.5616
137,27.5486
138,27.5478
139,27.5704
140,27.5921
141,27.6196
142,27.63
143,27.6473
144,27.666
145,27.6973
146,27.7461
147,27.7982
148,27.834
149,27.8371
150,27.8056
151,27.779
152,27.7646
153,27.7698
154,27.7613
155,27.7573
156,27.7812
157,27.8011
158,27.81
159,27.8207
160,27.8044
161,27.792
162,27.7824
163,27.7626
164,27.7651
165,27.7666
166,27.7732
167,27.7547
168,27.7226
169,27.6839
170,27.662
171,27.6411
172,27.6208
173,27.6055
174,27.5895
175,27.5884
176,27.5791
177,27.557
178,27.5742
179,27.5883
180,27.5772
181,27.5406
182,27.4913
183,27.4513
184,27.4264
185,27.4232
186,27.4245
187,27.4133
188,27.4133
189,27.4336
190,27.451
191,27.4717
192,27.4752
193,27.4601
194,27.4431
195,27.4097
196,27.3681
197,27.3363
198,27.3157
199,27.2844
200,27.2337
201,27.1946
202,27.1787
203,27.1651
204,27.1615
205,27.1311
206,27.0994
207,27.0768
208,27.0565
209,27.0362
210,27.0245
211,27.0308
212,27.03
213,27.0264
214,27.0173
215,26.9993
216,26.988
217,26.9835
218,26.9811
219,26.9681
220,26.9494
221,26.9188
222,26.896
223,26.88
224,26.8652
225,26.8497
226,26.8341
227,26.8136
228,26.8039
229,26.8272
230,26.8573
231,26.8573
232,26.8445
233,26.8489
234,26.8658
235,26.8712
236,26.8797
237,26.8713
238,26.8599
239,26.8535
240,26.8254
241,26.8154
242,26.8099
243,26.797
244,26.7861
245,26.7768
246,26.7595
247,26.7494
248,26.7369
249,26.7299
250,26.71
251,26.6815
252,26.6411
253,26.5994
254,26.5815
255,26.5744
256,26.5455
257,26.5127
258,26.4981
259,26.4903
260,26.4741
261,26.4451
262,26.441
263,26.4257
264,26.4152
265,26.397
266,26.3671
267,26.3349
268,26.2988
269,26.2495
270,26.2078
271,26.177
272,26.1488
273,26.1213
274,26.1122
275,26.1188
276,26.121
277,26.1093
278,26.1087
279,26.117
280,26.1421
281,26.149
282,26.1604
283,26.1557
284,26.1376
285,26.152
286,26.1822
287,26.1819
288,26.1555
289,26.1314
290,26.1121
291,26.1164
292,26.1299
293,26.1654
294,26.2062
295,26.2136
296,26.2147
297,26.2209
298,26.2135
299,26.2156
300,26.2255
301,26.2625
302,26.3275
303,26.3832
304,26.4441
305,26.4815
306,26.5074
307,26.5162
308,26.5285
309,26.538
310,26.5457
311,26.5528
312,26.5664
313,26.5758
314,26.573
315,26.5772
316,26.5929
317,26.6015
318,26.604
319,26.5957
320,26.586
321,26.5707
322,26.5545
323,26.5419
324,26.5324
325,26.5293
326,26.5391
327,26.5681
328,26.6086
329,26.6215
330,26.6282
331,26.6352
332,26.6319
333,26.6399
334,26.6436
335,26.6372
336,26.6335
337,26.6605
338,26.6838
339,26.6866
340,26.6814
341,26.6805
342,26.6796
343,26.6641
344,26.6533
345,26.6496
346,26.6357
347,26.6231
348,26.6162
349,26.5933
350,26.5699
351,26.5602
352,26.5794
353,26.6129
354,26.6463
355,26.7014
356,26.7828
357,26.8669
358,26.9259
359,26.9625
360,26.9456
361,26.9194
362,26.8764
363,26.8368
364,26.7944
365,26.7755
366,26.7616
367,26.7682
368,26.778
369,26.7843
370,26.8002
371,26.8185
372,26.8202
373,26.8092
374,26.8029
375,26.805
376,26.8001
377,26.7998
378,26.8037
379,26.8201
380,26.8718
381,26.9046
382,26.9244
383,26.9339
384,26.9599
385,26.9733
386,26.9771
387,26.9492
388,26.9012
389,26.8532
390,26.8066
391,26.7715
392,26.7322
393,26.6979
394,26.6649
395,26.6697
396,26.6989
397,26.733
398,26.7734
399,26.7948
400,26.8048
401,26.8317
402,26.8519
403,26.8806
404,26.9055
405,26.9262
406,26.9247
407,26.9054
408,26.9033
409,26.9289
410,26.9856
411,27.0599
412,27.1331
413,27.1888
414,27.2221
415,27.2827
416,27.3537
417,27.4483
418,27.5283
419,27.6057
420,27.6525
421,27.652
422,27.6459
423,27.6601
424,27.6746
425,27.687
426,27.6834
427,27.6588
428,27.6676
429,27.7221
430,27.7565
431,27.7843
432,27.856
433,27.9216
434,27.9547
435,27.9643
436,27.9839
437,27.9941
438,27.9698
439,27.9307
440,27.8677
441,27.8108
442,27.7802
443,27.7509
444,27.7494
445,27.7518
446,27.7654
447,27.764
448,27.767
449,27.7916
450,27.8542
451,27.9423
452,28.0243
453,28.103
454,28.1439
455,28.1782
456,28.2229
457,28.2499
458,28.2996
459,28.3414
460,28.3729
461,28.3994
462,28.425
463,28.4404
464,28.443
465,28.4582
466,28.4846
467,28.4882
468,28.4771
469,28.4847
470,28.5045
471,28.5297
472,28.5622
473,28.5625
474,28.5732
475,28.5574
476,28.5448
477,28.5501
478,28.5706
479,28.585
480,28.6042
481,28.5987
482,28.6085
483,28.5933
484,28.5763
485,28.559
486,28.5834
487,28.6477
488,28.6865
489,28.6942
490,28.697
491,28.7179
492,28.7366
493,28.7615
494,28.7907
495,28.8146
496,28.8301
497,28.8284
498,28.8327
499,28.8348
500,28.8518
501,28.8802
502,28.8863
503,28.8719
504,28.8416
505,28.8084
506,28.7884
507,28.7855
508,28.7844
509,28.7824
510,28.8123
511,28.8038
512,28.8064
513,28.8017
514,28.7993
515,28.8151
516,28.8266
517,28.8393
518,28.8385
519,28.8448
520,28.8517
521,28.8491
522,28.8492
523,28.8413
524,28.8288
525,28.8147
526,28.7902
527,28.7718
528,28.7609
529,28.7451
530,28.7216
531,28.6969
532,28.6624
533,28.6301
534,28.6142
535,28.6067
536,28.5996
537,28.594
538,28.5865
539,28.5974
540,28.6027
541,28.6137
542,28.6216
543,28.6222
544,28.6211
545,28.6006
546,28.5528
547,28.4981
548,28.4444
549,28.3876
550,28.3236
551,28.2792
552,28.2388
553,28.1975
554,28.1559
555,28.1234
556,28.0724
557,28.033
558,28.0086
559,27.9918
560,27.9708
561,27.9363
562,27.8958
563,27.87
564,27.8476
565,27.8124
566,27.7596
567,27.702
568,27.6474
569,27.5924
570,27.5595
571,27.5295
572,27.4972
573,27.4479
574,27.4001
575,27.3462
576,27.2878
577,27.2309
578,27.1721
579,27.1209
580,27.0801
581,27.0397
582,27.0067
583,26.9816
584,26.9656
585,26.9624
586,26.9367
587,26.9028
588,26.8547
589,26.8245
590,26.8009
591,26.7817
592,26.7469
593,26.7223
594,26.7018
595,26.6921
596,26.6897
597,26.7037
598,26.6867
599,26.6846
