,NINO_CESM2_7
0,26.7282
1,26.741
2,26.7299
3,26.7337
4,26.7364
5,26.7528
6,26.7418
7,26.7281
8,26.7224
9,26.6957
10,26.6659
11,26.6576
12,26.6678
13,26.6546
14,26.6338
15,26.6238
16,26.6362
17,26.6453
18,26.6427
19,26.6307
20,26.6498
21,26.6897
22,26.7422
23,26.7646
24,26.7856
25,26.7958
26,26.8219
27,26.8628
28,26.8581
29,26.8335
30,26.7894
31,26.7622
32,26.7532
33,26.7624
34,26.7734
35,26.804
36,26.8221
37,26.8172
38,26.7954
39,26.7725
40,26.7899
41,26.8117
42,26.8182
43,26.8223
44,26.8139
45,26.7936
46,26.8018
47,26.8365
48,26.8521
49,26.8504
50,26.857
51,26.8996
52,26.9696
53,27.008
54,27.0263
55,27.0523
56,27.0867
57,27.106
58,27.1038
59,27.1349
60,27.1842
61,27.261
62,27.3217
63,27.3511
64,27.3641
65,27.3739
66,27.3597
67,27.3425
68,27.3497
69,27.3503
70,27.3167
71,27.2859
72,27.2769
73,27.2881
74,27.3081
75,27.3623
76,27.4475
77,27.5411
78,27.6012
79,27.653
80,27.7054
81,27.7423
82,27.7502
83,27.7612
84,27.7722
85,27.8093
86,27.8321
87,27.8112
88,27.7848
89,27.7683
90,27.7431
91,27.7356
92,27.7411
93,27.7355
94,27.733
95,27.7414
96,27.7556
97,27.8022
98,27.8096
99,27.8291
100,27.8584
101,27.9101
102,27.9301
103,27.9175
104,27.9385
105,27.9669
106,27.9578
107,27.9259
108,27.8955
109,27.8721
110,27.8404
111,27.7993
112,27.7606
113,27.7523
114,27.7787
115,27.8132
116,27.8167
117,27.8129
118,27.8318
119,27.859
120,27.8597
121,27.8544
122,27.862
123,27.8709
124,27.8949
125,27.9293
126,27.9539
127,27.9529
128,27.9425
129,27.9121
130,27.8829
131,27.8528
132,27.8032
133,27.7569
134,27.705
135,27.6685
136,27.6479
137,27.6464
138,27.6445
139,27.6286
140,27.6172
141,27.5961
142,27.5645
143,27.535
144,27.5076
145,27.4884
146,27.4639
147,27.4422
148,27.4062
149,27.3756
150,27.342
151,27.3303
152,27.3234
153,27.316
154,27.3098
155,27.3172
156,27.3273
157,27.3336
158,27.3391
159,27.3232
160,27.337
161,27.3656
162,27.3841
163,27.4064
164,27.4282
165,27.4397
166,27.3989
167,27.343
168,27.2908
169,27.2406
170,27.2076
171,27.2049
172,27.2024
173,27.2017
174,27.1975
175,27.1938
176,27.1741
177,27.1645
178,27.1638
179,27.163
180,27.1512
181,27.1401
182,27.1264
183,27.1103
184,27.0905
185,27.0643
186,27.0427
187,27.0149
188,26.9829
189,26.9612
190,26.9396
191,26.9081
192,26.8745
193,26.8524
194,26.8263
195,26.7996
196,26.7838
