,NINO_CESM2_5
0,27.1392
1,27.1569
2,27.1871
3,27.2027
4,27.2035
5,27.1804
6,27.1566
7,27.1385
8,27.1093
9,27.0843
10,27.0588
11,27.045
12,27.0147
13,26.9905
14,26.9833
15,26.9824
16,27.0088
17,27.0663
18,27.1005
19,27.1453
20,27.1985
21,27.2188
22,27.1983
23,27.1526
24,27.118
25,27.0821
26,27.0242
27,26.9606
28,26.9053
29,26.8618
30,26.8383
31,26.8326
32,26.8382
33,26.8588
34,26.8628
35,26.88
36,26.9063
37,26.9046
38,26.8864
39,26.8466
40,26.8423
41,26.8309
42,26.8457
43,26.847
44,26.8704
45,26.8699
46,26.834
47,26.7742
48,26.6794
49,26.585
50,26.5111
51,26.4308
52,26.3597
53,26.2873
54,26.2331
55,26.1983
56,26.1681
57,26.1853
58,26.2341
59,26.2955
60,26.3668
61,26.4129
62,26.4572
63,26.4867
64,26.492
65,26.4712
66,26.4463
67,26.4202
68,26.372
69,26.2969
70,26.1963
71,26.1281
72,26.0774
73,26.0386
74,26.0168
75,26.0089
76,26.0214
77,26.0261
78,26.043
79,26.0677
80,26.1082
81,26.1387
82,26.1687
83,26.163
84,26.1529
85,26.1683
86,26.1535
87,26.1172
88,26.104
89,26.1282
90,26.1584
91,26.1896
92,26.234
93,26.274
94,26.2775
95,26.2742
96,26.2921
97,26.3199
98,26.3242
99,26.302
100,26.294
101,26.313
102,26.322
103,26.3061
104,26.2801
105,26.2733
106,26.2816
107,26.3209
108,26.3661
109,26.435
110,26.4927
111,26.538
112,26.5417
113,26.491
114,26.4183
115,26.3572
116,26.3011
117,26.2816
118,26.2785
119,26.2796
120,26.2676
121,26.2483
122,26.239
123,26.234
124,26.2167
125,26.1961
126,26.161
127,26.1297
128,26.1027
129,26.0719
130,26.0631
131,26.056
132,26.0526
133,26.0251
134,26.0108
135,26.015
136,26.0291
137,26.0502
138,26.1033
139,26.1482
140,26.1456
141,26.1362
142,26.1199
143,26.0944
144,26.0896
145,26.0757
146,26.0987
147,26.1212
148,26.1414
149,26.1566
150,26.1894
151,26.2294
152,26.2498
153,26.231
154,26.2214
155,26.2149
156,26.2174
157,26.2057
158,26.1598
159,26.1122
160,26.0747
161,26.0605
162,26.0438
163,26.0526
164,26.0482
165,26.0392
166,26.0266
167,25.9996
168,25.9705
169,25.9398
170,25.9006
171,25.8714
172,25.8443
173,25.8217
174,25.8104
175,25.8178
176,25.8307
177,25.8345
178,25.8614
179,25.8842
180,25.8955
181,25.9169
182,25.944
183,25.9588
184,25.9438
185,25.9272
186,25.9107
187,25.8915
188,25.8739
189,25.8528
190,25.817
191,25.7905
192,25.77
193,25.7537
194,25.7409
195,25.729
196,25.7069
197,25.6678
198,25.6183
199,25.5705
200,25.5215
201,25.4743
202,25.4589
203,25.4453
204,25.4351
205,25.43
206,25.4415
207,25.46
208,25.4536
209,25.4451
210,25.434
211,25.414
212,25.3735
213,25.3261
214,25.285
215,25.2615
216,25.2337
217,25.2078
218,25.1754
219,25.1454
220,25.1258
221,25.1058
222,25.0991
223,25.0951
224,25.0776
225,25.0785
226,25.0782
227,25.0827
228,25.098
229,25.1053
230,25.1097
231,25.0948
232,25.0686
233,25.0451
234,25.0394
235,25.0431
236,25.0278
237,25.0148
238,24.9857
239,24.9397
240,24.899
241,24.8754
242,24.8404
243,24.8031
244,24.7553
245,24.6941
246,24.6307
247,24.5809
248,24.5487
249,24.5167
250,24.4844
251,24.4617
252,24.4258
253,24.3768
254,24.3254
255,24.2835
256,24.246
257,24.1976
258,24.1378
259,24.0953
260,24.0795
261,24.0655
262,24.0396
263,23.9888
264,23.9436
265,23.8944
266,23.8748
267,23.8606
268,23.8223
269,23.7878
270,23.7458
271,23.7229
272,23.7085
273,23.6727
274,23.6445
275,23.6374
276,23.6423
277,23.6562
278,23.6655
279,23.6497
280,23.6373
281,23.6053
282,23.5877
283,23.5932
284,23.5936
285,23.5957
286,23.6059
287,23.6259
288,23.6526
289,23.6858
290,23.7117
291,23.7441
292,23.7932
293,23.8374
294,23.8379
295,23.8335
296,23.8369
297,23.8538
298,23.8598
299,23.8612
300,23.9003
301,23.9266
302,23.9347
303,23.9244
304,23.9183
305,23.9187
306,23.9062
307,23.9031
308,23.9173
309,23.92
310,23.9346
311,23.9485
312,23.9596
313,23.9779
314,23.9679
315,23.9664
316,23.9595
317,23.9352
318,23.9324
319,23.9373
320,23.939
321,23.9628
322,23.9975
323,24.0109
324,24.0213
325,24.0156
326,24.0105
327,24.032
328,24.0784
329,24.1063
330,24.1132
331,24.1367
332,24.1397
333,24.1347
334,24.1139
335,24.1025
336,24.1053
337,24.1056
338,24.1098
339,24.1104
340,24.1037
341,24.1237
342,24.1454
343,24.1782
344,24.2109
345,24.2326
346,24.2585
347,24.2704
348,24.263
349,24.2472
350,24.2678
351,24.2785
352,24.2863
353,24.3045
354,24.3199
355,24.3311
356,24.3325
357,24.32
358,24.2981
359,24.2801
360,24.2674
361,24.2658
362,24.278
363,24.2645
364,24.245
365,24.2299
366,24.2217
367,24.2366
368,24.2605
369,24.2774
370,24.2681
371,24.2351
372,24.2231
373,24.2101
374,24.2018
375,24.1926
376,24.1874
377,24.1744
378,24.1467
379,24.1137
380,24.0985
381,24.0999
382,24.1081
383,24.0928
384,24.0764
385,24.0498
386,24.0358
387,24.0461
388,24.0652
389,24.0826
390,24.0893
391,24.0933
392,24.1037
393,24.1344
394,24.1839
395,24.2089
396,24.2272
397,24.2603
398,24.2555
399,24.2485
400,24.249
401,24.2498
402,24.2701
403,24.2983
404,24.2949
405,24.2712
406,24.2506
407,24.2655
408,24.3069
409,24.3772
410,24.4362
411,24.4696
412,24.4883
413,24.5191
414,24.5489
415,24.5517
416,24.5624
417,24.6055
418,24.6576
419,24.6858
420,24.7079
421,24.7517
422,24.7958
423,24.8501
424,24.9393
425,24.9993
426,25.0682
427,25.1182
428,25.1599
429,25.2157
430,25.2668
431,25.3082
432,25.332
433,25.3739
434,25.4035
435,25.4424
436,25.4857
437,25.5081
438,25.5241
439,25.5653
440,25.6233
441,25.6993
442,25.7812
443,25.8432
444,25.9043
445,25.9689
446,26.0539
447,26.1105
448,26.1339
449,26.1532
450,26.1715
451,26.1714
452,26.1385
453,26.0936
454,26.065
455,26.0332
456,26.0017
457,25.9739
458,25.9589
459,25.9509
460,25.9645
461,25.99
462,26.0128
463,26.0233
464,26.018
465,26.0055
466,26.0029
467,26.0012
468,26.016
469,26.0485
470,26.0997
471,26.1321
472,26.1462
473,26.1605
474,26.1746
475,26.1913
476,26.2145
477,26.2261
478,26.2413
479,26.2486
480,26.2524
481,26.235
482,26.232
483,26.2405
484,26.2619
485,26.287
486,26.3125
487,26.3418
488,26.3708
489,26.4166
490,26.4446
491,26.4447
492,26.4308
493,26.4121
494,26.4215
495,26.4409
496,26.4734
497,26.4868
498,26.4891
499,26.5139
500,26.5423
501,26.5603
502,26.573
503,26.5928
504,26.624
505,26.6563
506,26.6645
507,26.6593
508,26.6439
509,26.642
510,26.6428
511,26.628
512,26.6343
513,26.6588
514,26.682
515,26.7117
516,26.7543
517,26.7707
518,26.7701
519,26.7621
520,26.7479
