,NINO_CESM2_10
463,26.1001
464,26.1092
465,26.1571
466,26.2526
467,26.3607
468,26.4557
469,26.515
470,26.5364
471,26.5333
472,26.5241
473,26.5495
474,26.5917
475,26.6421
476,26.6638
477,26.6712
478,26.7145
479,26.7533
480,26.8008
481,26.8256
482,26.8336
483,26.847
484,26.8515
485,26.8488
486,26.8284
487,26.8228
488,26.8151
489,26.8041
490,26.8098
491,26.8141
492,26.7979
493,26.7848
494,26.8051
495,26.8512
496,26.9194
497,26.9761
498,26.9964
499,27.0079
500,27.0054
501,27.0065
502,26.979
503,26.9497
504,26.9428
505,26.9295
506,26.922
507,26.9075
508,26.8895
509,26.8949
510,26.9194
511,26.9536
512,26.9577
513,26.9624
514,26.9652
515,26.9678
516,26.9608
517,26.9458
518,26.9279
519,26.9047
520,26.8733
521,26.8372
522,26.8228
523,26.7958
524,26.7622
525,26.7264
526,26.6986
527,26.6725
528,26.6616
529,26.6554
530,26.6358
531,26.6278
532,26.6196
533,26.6062
534,26.6062
535,26.6156
536,26.6242
537,26.6289
538,26.6264
539,26.6115
540,26.5749
541,26.535
542,26.499
543,26.4769
544,26.4676
545,26.4481
546,26.44
547,26.4158
548,26.4005
549,26.4032
550,26.4079
551,26.3978
552,26.3852
553,26.3813
554,26.361
555,26.3455
556,26.3357
557,26.3163
558,26.3073
559,26.3059
560,26.3012
561,26.2962
562,26.3058
563,26.3175
564,26.3227
565,26.3096
566,26.3001
567,26.269
568,26.2382
569,26.2127
570,26.181
571,26.1575
572,26.1442
573,26.1349
574,26.1378
575,26.139
576,26.1248
577,26.0982
578,26.0604
579,26.0163
580,25.9901
581,25.9751
582,25.9497
583,25.9146
584,25.8917
585,25.8808
586,25.8867
587,25.8901
588,25.8767
589,25.8598
590,25.8343
591,25.7977
592,25.7551
593,25.7058
594,25.6812
595,25.672
596,25.6736
597,25.6685
598,25.657
599,25.6237
600,25.5935
601,25.5718
602,25.5431
603,25.5095
604,25.478
605,25.4548
606,25.4378
607,25.4349
608,25.4289
609,25.4164
610,25.4245
611,25.4408
612,25.4623
613,25.4747
614,25.4855
615,25.4946
616,25.4767
617,25.4528
618,25.4482
619,25.4231
620,25.4246
621,25.4243
622,25.4378
623,25.4251
624,25.3863
625,25.3427
626,25.3025
627,25.2583
628,25.2302
629,25.2254
630,25.2292
631,25.2483
632,25.2615
633,25.2519
634,25.2372
635,25.2423
636,25.2265
637,25.2029
638,25.1972
639,25.2007
640,25.2103
641,25.2198
642,25.2317
643,25.2489
644,25.2608
645,25.2566
646,25.2547
647,25.2703
648,25.3111
649,25.328
650,25.332
651,25.3331
652,25.3262
653,25.3034
654,25.2962
655,25.3014
656,25.32
657,25.3174
658,25.3332
659,25.3386
660,25.3526
661,25.3781
662,25.4069
663,25.4501
664,25.4813
665,25.4827
666,25.4665
667,25.4819
668,25.5032
669,25.5183
670,25.5536
671,25.5817
672,25.592
673,25.5999
674,25.6173
675,25.6433
676,25.6738
677,25.7075
678,25.7441
679,25.7631
680,25.81
681,25.8502
682,25.8884
683,25.9012
684,25.8998
685,25.9131
686,25.9277
687,25.9432
688,25.9593
689,25.9876
690,26.0196
691,26.0548
692,26.0706
693,26.089
694,26.1116
695,26.1248
696,26.153
697,26.1658
698,26.1593
699,26.1362
700,26.1385
701,26.1529
702,26.1692
703,26.1872
704,26.1972
705,26.2021
706,26.1897
707,26.1863
708,26.1773
709,26.1809
710,26.1957
711,26.197
712,26.2203
713,26.2469
714,26.25
715,26.2448
716,26.2488
717,26.2557
718,26.2717
719,26.2792
720,26.2729
721,26.2823
722,26.302
723,26.3152
724,26.3434
725,26.3673
726,26.3817
727,26.3935
728,26.3917
729,26.3913
730,26.3912
731,26.3945
732,26.3884
733,26.3735
734,26.3702
735,26.3549
736,26.3523
737,26.3663
738,26.3919
739,26.4255
740,26.4635
741,26.4836
742,26.487
743,26.4852
744,26.4956
745,26.5156
746,26.5092
747,26.5022
748,26.5045
749,26.503
750,26.5402
751,26.5837
752,26.6125
753,26.6316
754,26.665
755,26.7108
756,26.7349
757,26.736
758,26.7177
759,26.7203
760,26.7289
761,26.7221
762,26.7213
763,26.7359
764,26.7531
765,26.7729
766,26.7586
767,26.7442
768,26.7566
769,26.7929
770,26.8315
771,26.8526
772,26.8977
773,26.9497
774,27.0042
775,27.0367
776,27.0694
777,27.1007
778,27.1186
779,27.1134
780,27.098
781,27.1147
782,27.1445
783,27.1726
784,27.223
785,27.2599
786,27.2654
787,27.2637
788,27.2536
789,27.2406
790,27.2343
791,27.2369
792,27.2594
793,27.2582
794,27.2947
795,27.3185
796,27.3318
797,27.3393
798,27.3771
799,27.4212
800,27.4664
801,27.4936
802,27.5052
803,27.4881
804,27.5045
805,27.5322
806,27.5445
807,27.549
808,27.5651
809,27.5661
810,27.6077
811,27.6484
812,27.6925
813,27.7122
814,27.7224
815,27.7407
816,27.7773
817,27.797
818,27.8258
819,27.8476
820,27.8411
821,27.8131
822,27.7852
823,27.7679
824,27.7863
825,27.823
826,27.8807
827,27.9214
828,27.9654
829,27.9847
830,27.9888
831,27.9616
832,27.9627
833,27.9874
834,27.9837
835,27.98
836,27.9778
837,27.9678
838,27.9616
839,27.9605
840,27.9655
841,27.9862
842,28.0298
843,28.0825
844,28.144
845,28.2163
846,28.2916
847,28.3515
848,28.3776
849,28.3934
850,28.426
851,28.4625
852,28.4905
853,28.5044
854,28.5095
855,28.505
856,28.4838
857,28.4321
858,28.3958
859,28.3861
860,28.3893
861,28.3854
862,28.3766
863,28.3562
864,28.3555
865,28.3877
866,28.4393
867,28.4697
868,28.496
869,28.5347
870,28.594
871,28.6289
872,28.6565
873,28.6767
874,28.6926
875,28.6976
876,28.6963
877,28.6907
878,28.7089
879,28.7311
880,28.7166
881,28.7183
882,28.7385
883,28.7619
884,28.7868
885,28.8067
886,28.8374
887,28.8684
888,28.9033
889,28.9381
890,28.9555
891,28.9792
892,28.9652
893,28.9131
894,28.858
895,28.8026
896,28.7624
897,28.7319
898,28.7076
899,28.679
900,28.6536
901,28.6219
902,28.5888
903,28.5448
904,28.5026
905,28.4907
906,28.4678
907,28.4465
908,28.4024
909,28.3498
910,28.3269
911,28.3066
912,28.2773
913,28.2586
914,28.2302
915,28.1927
916,28.1355
917,28.1054
918,28.0855
919,28.0648
920,28.0353
921,28.0029
922,27.9789
923,27.9788
924,27.9848
925,28.0081
926,28.0028
927,27.993
928,27.9824
929,27.9671
930,27.9285
931,27.8945
932,27.8514
933,27.8166
934,27.7926
935,27.7699
936,27.7384
937,27.7051
938,27.6795
939,27.6534
940,27.626
941,27.5974
942,27.5661
943,27.5468
944,27.5407
945,27.5278
946,27.5186
947,27.5172
948,27.5063
949,27.4884
950,27.4723
951,27.4576
952,27.4483
953,27.4243
954,27.3892
955,27.3726
956,27.3673
957,27.3674
958,27.3424
959,27.3346
960,27.3385
961,27.337
962,27.3342
963,27.3342
964,27.3277
965,27.3092
966,27.3084
967,27.3015
968,27.2907
969,27.2648
970,27.2334
971,27.2104
972,27.197
973,27.1832
974,27.1575
975,27.1223
976,27.1237
977,27.1344
978,27.1497
979,27.1712
980,27.1873
981,27.1912
982,27.1745
983,27.1295
984,27.0888
985,27.0505
986,27.0225
987,27.0146
988,26.9976
989,26.9813
990,26.9653
991,26.962
992,26.9584
993,26.9539
994,26.9652
995,26.9849
996,26.9986
997,27.0053
998,26.9835
999,26.9386
1000,26.9052
1001,26.8784
1002,26.8463
1003,26.8123
1004,26.8039
1005,26.8155
1006,26.8044
1007,26.802
1008,26.8235
1009,26.8386
1010,26.856
1011,26.8877
1012,26.9363
1013,26.9678
1014,26.9725
1015,26.9837
1016,27.0125
1017,27.0489
1018,27.0653
1019,27.0682
1020,27.0878
1021,27.1125
1022,27.1479
1023,27.1558
1024,27.1483
1025,27.142
1026,27.1395
1027,27.1552
1028,27.1663
1029,27.1921
1030,27.2211
1031,27.2299
1032,27.2122
1033,27.2027
1034,27.1971
1035,27.202
1036,27.1971
1037,27.1752
1038,27.1491
1039,27.1234
1040,27.1023
1041,27.0874
1042,27.1038
1043,27.1642
1044,27.1995
1045,27.2181
1046,27.253
1047,27.2678
1048,27.3256
1049,27.3718
1050,27.3935
1051,27.4039
1052,27.4136
1053,27.4171
1054,27.4243
1055,27.4033
1056,27.3804
1057,27.3519
1058,27.3327
1059,27.3149
1060,27.301
1061,27.2999
1062,27.3012
1063,27.3104
1064,27.3295
1065,27.3364
1066,27.3652
1067,27.4037
1068,27.4397
1069,27.4605
1070,27.4923
1071,27.5177
1072,27.5273
1073,27.5411
1074,27.552
1075,27.5461
1076,27.532
1077,27.5138
1078,27.4992
1079,27.48
1080,27.4551
1081,27.4531
1082,27.4571
1083,27.463
1084,27.4712
1085,27.4738
1086,27.4972
1087,27.5064
1088,27.5098
1089,27.5029
1090,27.4991
1091,27.4929
1092,27.4925
1093,27.5007
1094,27.5001
1095,27.4912
1096,27.4715
1097,27.4602
1098,27.4462
1099,27.4415
1100,27.4362
1101,27.4452
1102,27.4573
1103,27.4626
1104,27.4811
1105,27.5089
1106,27.5303
1107,27.5561
1108,27.5815
1109,27.6153
1110,27.6347
1111,27.6485
1112,27.6663
1113,27.6687
1114,27.6516
1115,27.6115
1116,27.5736
1117,27.5426
1118,27.5072
1119,27.4691
1120,27.4463
1121,27.4276
1122,27.4342
1123,27.4271
1124,27.4182
1125,27.4423
1126,27.4556
1127,27.4241
1128,27.4079
1129,27.4173
1130,27.4196
1131,27.4174
1132,27.4247
1133,27.4388
1134,27.4646
1135,27.4969
1136,27.5289
1137,27.5727
1138,27.6399
1139,27.7069
1140,27.7567
1141,27.773
1142,27.8158
1143,27.8556
1144,27.9157
1145,27.9832
1146,28.0451
1147,28.0869
1148,28.09
1149,28.0906
1150,28.0839
1151,28.0477
1152,28.0654
1153,28.1032
1154,28.1064
1155,28.0945
1156,28.0895
1157,28.0905
1158,28.0992
1159,28.1226
1160,28.1437
1161,28.1609
1162,28.1542
1163,28.1493
1164,28.1608
1165,28.1796
1166,28.1899
1167,28.2022
1168,28.2392
1169,28.2353
1170,28.2178
1171,28.2469
1172,28.2541
1173,28.2769
1174,28.3155
1175,28.3222
1176,28.3414
1177,28.3419
1178,28.3876
1179,28.4416
1180,28.4647
1181,28.4667
1182,28.4488
1183,28.4564
1184,28.4733
1185,28.4797
1186,28.5227
1187,28.5804
1188,28.6323
1189,28.6261
1190,28.5733
1191,28.5204
1192,28.4901
1193,28.4678
1194,28.4698
1195,28.4778
1196,28.4981
1197,28.5247
1198,28.5486
1199,28.5567
1200,28.5638
1201,28.5944
1202,28.6425
1203,28.6734
1204,28.6921
1205,28.7169
1206,28.7521
1207,28.7481
1208,28.7239
1209,28.6984
1210,28.7087
1211,28.7265
1212,28.721
1213,28.7015
1214,28.6643
1215,28.6402
1216,28.6008
1217,28.5771
1218,28.5514
1219,28.5106
1220,28.4635
1221,28.4061
1222,28.3747
1223,28.3189
1224,28.2872
1225,28.2577
1226,28.2456
1227,28.2841
1228,28.3014
1229,28.3196
1230,28.3226
1231,28.3105
1232,28.3029
1233,28.3056
1234,28.2973
1235,28.2935
1236,28.2898
1237,28.2947
1238,28.3039
1239,28.2878
1240,28.2786
1241,28.2903
1242,28.279
1243,28.2697
1244,28.2965
1245,28.2999
1246,28.2899
1247,28.283
1248,28.2757
1249,28.244
1250,28.221
1251,28.1893
1252,28.1554
1253,28.1221
1254,28.0794
1255,28.033
1256,27.9874
1257,27.9377
1258,27.8995
1259,27.8711
1260,27.8581
1261,27.8323
1262,27.8116
