,NINO_CESM2_6
0,26.6602
1,26.6674
2,26.686
3,26.7058
4,26.7118
5,26.7153
6,26.7075
7,26.723
8,26.7485
9,26.7832
10,26.8353
11,26.8835
12,26.903
13,26.8917
14,26.8786
15,26.8604
16,26.8632
17,26.8694
18,26.8595
19,26.8483
20,26.8427
21,26.8289
22,26.8183
23,26.8078
24,26.8105
25,26.8381
26,26.8563
27,26.8619
28,26.8776
29,26.8953
30,26.92
31,26.9525
32,27.0184
33,27.078
34,27.1305
35,27.1953
36,27.2632
37,27.3077
38,27.3109
39,27.3013
40,27.2898
41,27.2957
42,27.3266
43,27.3585
44,27.3946
45,27.4306
46,27.4436
47,27.4682
48,27.4878
49,27.4989
50,27.5185
51,27.5573
52,27.61
53,27.6585
54,27.7235
55,27.7807
56,27.8026
57,27.8322
58,27.8614
59,27.9162
60,27.9893
61,28.04
62,28.0712
63,28.0564
64,28.0623
65,28.0916
66,28.1187
67,28.1426
68,28.1569
69,28.2005
70,28.2308
71,28.2636
72,28.2836
73,28.2964
74,28.3013
75,28.3033
76,28.3195
77,28.3564
78,28.3735
79,28.3963
80,28.4312
81,28.464
82,28.4972
83,28.5385
84,28.5701
85,28.5771
86,28.5642
87,28.5269
88,28.4902
89,28.473
90,28.4558
91,28.454
92,28.4528
93,28.4528
94,28.4618
95,28.4782
96,28.4864
97,28.5273
98,28.5861
99,28.6449
100,28.6785
101,28.6873
102,28.6884
103,28.6811
104,28.6785
105,28.6807
106,28.677
107,28.67
108,28.6786
109,28.6754
110,28.6763
111,28.6842
112,28.6902
113,28.6957
114,28.7218
115,28.7506
116,28.7711
117,28.7993
118,28.8487
119,28.8825
120,28.925
121,28.9489
122,28.9592
123,28.9693
124,28.9934
125,29.0236
126,29.0421
127,29.0757
128,29.0979
129,29.1107
130,29.1196
131,29.1258
132,29.1309
133,29.1326
134,29.1416
135,29.1497
136,29.1449
137,29.1488
138,29.1434
139,29.1523
140,29.1531
141,29.1749
142,29.2108
143,29.209
144,29.2089
145,29.2205
146,29.2207
147,29.2239
148,29.2266
149,29.2101
150,29.1972
151,29.1751
152,29.1691
153,29.1769
154,29.1643
155,29.1785
156,29.1816
157,29.1799
158,29.1673
159,29.1707
160,29.1655
161,29.1389
162,29.1138
163,29.0937
164,29.0949
165,29.0951
166,29.0885
167,29.0865
168,29.0852
169,29.0993
170,29.1029
171,29.1022
172,29.094
173,29.096
174,29.087
175,29.0809
176,29.078
177,29.0822
178,29.0955
179,29.0928
180,29.09
181,29.0792
182,29.0834
183,29.0668
184,29.0434
185,29.0118
186,28.9847
187,28.9454
188,28.9257
189,28.9029
190,28.884
191,28.8761
192,28.8833
193,28.9002
194,28.8951
195,28.8674
196,28.8395
197,28.7982
198,28.7576
199,28.7068
200,28.6533
201,28.6041
202,28.5612
203,28.509
204,28.4515
205,28.3901
206,28.3351
207,28.2926
208,28.2514
209,28.2148
210,28.1936
211,28.1766
212,28.1569
213,28.1291
214,28.0998
215,28.0849
216,28.0601
217,28.0117
218,27.9666
219,27.9131
220,27.8862
221,27.8644
222,27.8421
223,27.8112
224,27.7777
225,27.7535
226,27.7342
227,27.7198
228,27.7266
229,27.6974
230,27.6766
231,27.6707
232,27.6757
233,27.6876
234,27.6915
235,27.7209
236,27.7258
237,27.6821
238,27.648
239,27.631
240,27.6123
241,27.6012
242,27.5671
243,27.5384
244,27.5247
245,27.4999
246,27.4942
247,27.5048
248,27.5461
249,27.586
250,27.6134
251,27.6537
252,27.6937
253,27.708
254,27.7073
255,27.711
256,27.7206
257,27.6921
258,27.6435
259,27.603
260,27.5894
261,27.5996
262,27.6047
263,27.5942
264,27.5689
